DCF,descdepto,descclase,descfamilia
20603,ELECTRONICA                   ,MINI AUDIOS                   ,CASSETTE RADIO                
20606,ELECTRONICA                   ,MINI AUDIOS                   ,AUDIFONOS/BOCINAS             
21602,ELECTRONICA                   ,DVD                           ,VIDEO GRABADORA 2 CABEZAS     
21603,ELECTRONICA                   ,DVD                           ,VIDEO GRABADORA 4 CABEZAS     
21801,ELECTRONICA                   ,VIDEO CAMARA                  ,VIDEO CAMARA VHS              
21802,ELECTRONICA                   ,VIDEO CAMARA                  ,VIDEO CAMARA 8 MM             
21803,ELECTRONICA                   ,VIDEO CAMARA                  ,ACCESORIOS                    
21902,ELECTRONICA                   ,ACCESORIOS TV                 ,ANTENA MAYOR ALCANCE          
21905,ELECTRONICA                   ,ACCESORIOS TV                 ,COMPONENTES PARA ANTENAS      
22203,ELECTRONICA                   ,TELEFONOS                     ,INTERFONO                     
22206,ELECTRONICA                   ,TELEFONOS                     ,CONTESTADOR                   
22207,ELECTRONICA                   ,TELEFONOS                     ,FAX                           
22208,ELECTRONICA                   ,TELEFONOS                     ,FAX CON TELEFONO              
22411,ELECTRONICA                   ,TELEFONOS CELULARES           ,UNEFON PREPAGOS               
22420,ELECTRONICA                   ,TELEFONOS CELULARES           ,TELEFONICA MOVISTAR PREPAGOS  
22421,ELECTRONICA                   ,TELEFONOS CELULARES           ,MOVISTAR PREPAGO (NVO ESQUEMA)
22440,ELECTRONICA                   ,TELEFONOS CELULARES           ,IUSACELL PREPAGOS             
22474,ELECTRONICA                   ,TELEFONOS CELULARES           ,TARJETAS INTERNET             
22479,ELECTRONICA                   ,TELEFONOS CELULARES           ,TELEFONIA FIJA MOVISTAR       
22484,ELECTRONICA                   ,TELEFONOS CELULARES           ,TARJETA DE DATOS              
22510,ELECTRONICA                   ,CELULARES P/GARANTIA          ,UNEFON                        
22520,ELECTRONICA                   ,CELULARES P/GARANTIA          ,MOVISTAR                      
22530,ELECTRONICA                   ,CELULARES P/GARANTIA          ,TELCEL                        
22540,ELECTRONICA                   ,CELULARES P/GARANTIA          ,IUSACELL                      
22610,ELECTRONICA                   ,TARJETAS DE LARGA DISTANCIA   ,WOW LARGA DISTANCIA           
22713,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN TARIFARIO IUSACELL       
22721,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN MOVISTAR                 
22740,ELECTRONICA                   ,PLANES TARIFARIOS             ,PLAN IUSACELL                 
22803,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TARJETA $100                  
22805,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TARJETAS $200                 
22811,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,UNEFON TARJETAS PREPAGO       
22812,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,PLAN FACIL UNEFON TARIFA PLANA
22821,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TELEFONICA MOVISTAR TARJETAS P
22831,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,TELCEL TARJETAS PREPAGO       
22841,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,IUSACELL TARJETAS PREPAGO     
22842,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,PLAN FACIL IUSACELL           
23003,ELECTRONICA                   ,PELICULAS                     ,EXHIBIDOR                     
29801,ELECTRONICA                   ,ACCESORIOS VARIOS             ,FUNDAS IPODS                  
29805,ELECTRONICA                   ,ACCESORIOS VARIOS             ,ACCESORIOS CAMARAS            
29806,ELECTRONICA                   ,ACCESORIOS VARIOS             ,COLGANTES P/CEL               
29807,ELECTRONICA                   ,ACCESORIOS VARIOS             ,ACCESORIOS IPOD               
29810,ELECTRONICA                   ,ACCESORIOS VARIOS             ,EXHIBIDORES                   
29930,ELECTRONICA                   ,PROMOCIONES                   ,OFERTAS TELCEL                
30101,MUEBLE SUELTO                 ,COLCHON                       ,INDIVIDUAL                BAJA
30103,MUEBLE SUELTO                 ,COLCHON                       ,INFLABLE 100              BAJA
30105,MUEBLE SUELTO                 ,COLCHON                       ,MATRIMONIAL               BAJA
30107,MUEBLE SUELTO                 ,COLCHON                       ,INFLABLE 135              BAJA
30109,MUEBLE SUELTO                 ,COLCHON                       ,QUEEN RESORTE             BAJA
30111,MUEBLE SUELTO                 ,COLCHON                       ,QUEEN C/TOP RESORTE       BAJA
30113,MUEBLE SUELTO                 ,COLCHON                       ,KING RESORTE              BAJA
30115,MUEBLE SUELTO                 ,COLCHON                       ,KING C/TOP RESORTE        BAJA
30211,MUEBLE SUELTO                 ,JUEGO BOX                     ,135                       BAJA
30213,MUEBLE SUELTO                 ,JUEGO BOX                     ,200                       BAJA
30409,MUEBLE SUELTO                 ,CAMAS                         ,CUNA                      BAJA
30410,MUEBLE SUELTO                 ,CAMAS                         ,METAL QS                      
30601,MUEBLE SUELTO                 ,CABECERAS                     ,IND/IND METALICA          BAJA
30602,MUEBLE SUELTO                 ,CABECERAS                     ,INDIVIDUAL                    
30606,MUEBLE SUELTO                 ,CABECERAS                     ,QUEEN SIZE                    
30901,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS FORMICA          BAJA
30903,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS CRISTAL          BAJA
30905,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,5 PIEZAS MADERA           BAJA
30907,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,7 PIEZAS FORMICA          BAJA
30909,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,7 PIEZAS CRISTAL          BAJA
30911,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,7 PIEZAS MADERA           BAJA
30913,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,9 PIEZAS MADERA           BAJA
30920,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,DESAYUNADOR               BAJA
30926,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,MESA SUELTA               BAJA
30929,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,MESAS 5/7/9 PIEZAS        BAJA
30938,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,SILLA ALTA BARRA          BAJA
30940,MUEBLE SUELTO                 ,ANTECOMEDOR               BAJA,TRINCHADOR BASICO         BAJA
31001,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,ALTAS                     BAJA
31015,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,BANCO                     BAJA
31016,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,BAJO CAMA MATRIMONIAL         
31020,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,B                         BAJA
31025,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,JARDIN/SET                BAJA
31030,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,JARDIN                    BAJA
31031,MUEBLE SUELTO                 ,BASES PARA COLCHON            ,TABURETE                  BAJA
31101,MUEBLE SUELTO                 ,MECEDORAS                 BAJA,MADERA                    BAJA
31102,MUEBLE SUELTO                 ,MECEDORAS                 BAJA,METAL                     BAJA
31103,MUEBLE SUELTO                 ,MECEDORAS                 BAJA,TAPIZADA                  BAJA
31201,MUEBLE SUELTO                 ,CATRES                        ,INFANTIL                  BAJA
31203,MUEBLE SUELTO                 ,CATRES                        ,SOMBRILLA PARA JARDIN     BAJA
31205,MUEBLE SUELTO                 ,CATRES                        ,JUEGOS DE JARDIN (SETS)   BAJA
31206,MUEBLE SUELTO                 ,CATRES                        ,MESA P/JUEGO DE JARDIN    BAJA
31207,MUEBLE SUELTO                 ,CATRES                        ,MESA SUELTA               BAJA
31208,MUEBLE SUELTO                 ,CATRES                        ,MUEBLE INFANTIL           BAJA
31425,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,PORTACD                   BAJA
31427,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,BUFETERA                  BAJA
31428,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,BURRO P/ PLANCHAR         BAJA
31429,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,CABECERAS DE CAMAS        BAJA
31430,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,BAUL                      BAJA
31431,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,ESQUINEROS                BAJA
31432,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,DESAYUNADOR               BAJA
31435,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,CABECERAS                 BAJA
31436,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,MALETERO                  BAJA
31438,MUEBLE SUELTO                 ,MUEBLES INFANTILES            ,BOTIQUIN                  BAJA
31501,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,PAQUETE CHICO             BAJA
31503,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,ALACENA PORTAMICRO        BAJA
31505,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,ALACENA MADERA            BAJA
31506,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,MODULOS P/COCINA          BAJA
31507,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,ALACENA PARA COCINA       BAJA
31508,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,GABINETE METAL            BAJA
31512,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,COCINAS                   BAJA
31513,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,ALACENA DE COCINA         BAJA
31514,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,ALACENA INTEGRAL          BAJA
31517,MUEBLE SUELTO                 ,MUEBLES COCINA            BAJA,BASE INTEGRAL             BAJA
31601,MUEBLE SUELTO                 ,COMEDORES                     ,DE MESA                   BAJA
31603,MUEBLE SUELTO                 ,COMEDORES                     ,MUEBLE METAL              BAJA
31605,MUEBLE SUELTO                 ,COMEDORES                     ,MUEBLE PORTAGARRAFON MADE BAJA
31607,MUEBLE SUELTO                 ,COMEDORES                     ,CANASTILLA FRUTERO        BAJA
31701,MUEBLE SUELTO                 ,COCINAS                   BAJA,240                       BAJA
31705,MUEBLE SUELTO                 ,COCINAS                   BAJA,135                       BAJA
31706,MUEBLE SUELTO                 ,COCINAS                   BAJA,150                       BAJA
31801,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,B                         BAJA
31802,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,CHICO CLASICO                 
31805,MUEBLE SUELTO                 ,BUFFETS/TRINCHADOR            ,DESPENSAS                 BAJA
32005,MUEBLE SUELTO                 ,COMEDORES                 BAJA,SET 2 VELAS               BAJA
32010,MUEBLE SUELTO                 ,COMEDORES                 BAJA,SET 3 VELAS               BAJA
32205,MUEBLE SUELTO                 ,SILLAS P/COMEDOR SUELTAS      ,METALICAS                 BAJA
32501,MUEBLE SUELTO                 ,VARIOS                    BAJA,ESCALERA TRES PELDAÑOS    BAJA
32502,MUEBLE SUELTO                 ,VARIOS                    BAJA,ESCALERA DOS PELDAÑOS     BAJA
32701,MUEBLE SUELTO                 ,COMPLEM SALA                  ,ESCRITORIOS               BAJA
32705,MUEBLE SUELTO                 ,COMPLEM SALA                  ,COMODA INF                BAJA
33015,MUEBLE SUELTO                 ,JARDIN                        ,TABURETE                  BAJA
38005,MUEBLE SUELTO                 ,ACCESORIOS                    ,PARTES PARA ROPERO IMPORTADO  
38007,MUEBLE SUELTO                 ,ACCESORIOS                    ,TAMBORES                      
38008,MUEBLE SUELTO                 ,ACCESORIOS                    ,CABECERAS DE METAL/MADERA     
38009,MUEBLE SUELTO                 ,ACCESORIOS                    ,ACCESORIO PARA CUNA           
38010,MUEBLE SUELTO                 ,ACCESORIOS                    ,MARCOS C/RUEDAS               
38016,MUEBLE SUELTO                 ,ACCESORIOS                    ,REMATES                       
38017,MUEBLE SUELTO                 ,ACCESORIOS                    ,BASTON                        
38018,MUEBLE SUELTO                 ,ACCESORIOS                    ,ENTREPAÑOS                    
38020,MUEBLE SUELTO                 ,ACCESORIOS                    ,BASES P/MESAS                 
38021,MUEBLE SUELTO                 ,ACCESORIOS                    ,CUBIERTAS P/MESAS             
38022,MUEBLE SUELTO                 ,ACCESORIOS                    ,MESAS COMEDOR 5/7/9 PZAS      
38025,MUEBLE SUELTO                 ,ACCESORIOS                    ,VIDRIOS                       
38026,MUEBLE SUELTO                 ,ACCESORIOS                    ,LUNAS                         
38027,MUEBLE SUELTO                 ,ACCESORIOS                    ,EXHIBIDOR COCINETAS           
39001,MUEBLE SUELTO                 ,ARTICULOS COMPLEMENTOS    BAJA,SILLAS ANTECOMEDOR        BAJA
39002,MUEBLE SUELTO                 ,ARTICULOS COMPLEMENTOS    BAJA,MESAS ANTECOMEDOR         BAJA
39902,MUEBLE SUELTO                 ,OFERTAS                       ,317 CAMA METAL            BAJA
39903,MUEBLE SUELTO                 ,OFERTAS                       ,319 LITERA                BAJA
39904,MUEBLE SUELTO                 ,OFERTAS                       ,376 ROPEROS               BAJA
39905,MUEBLE SUELTO                 ,OFERTAS                       ,VARIOS                    BAJA
40110,"SALAS, RECAMARAS, COMEDORES   ",SALAS                         ,SALA 22M                      
41010,"SALAS, RECAMARAS, COMEDORES   ",SOFAS CAMA                    ,ESTUDIOS                      
49701,"SALAS, RECAMARAS, COMEDORES   ",ACCESORIOS PARA MQ DE COSER   ,MAQ. COSER                    
49970,"SALAS, RECAMARAS, COMEDORES   ",PROMOCIONES                   ,EXHIBIDORES                   
59801,BICICLETAS/BEBES/AUTOMOTRIZ   ,EXHIBIDORES                   ,DOMIT                         
79901,RELOJERIA                     ,OFERTAS                       ,VARIOS                        
80203,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO LISO 10K     
80204,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO SOLITARIO 14K
80206,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO LISO 14K     
80805,JOYERIA                       ,PULSERAS ORO                  ,SEMANARIO 10K                 
80810,JOYERIA                       ,PULSERAS ORO                  ,SEMANARIO 14K                 
80904,JOYERIA                       ,SETS ORO                      ,COLLAR CON ARETES 14K         
81115,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 12-12½            
81116,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 13-13½            
81117,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 12-12½            
81118,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 13-13½            
81206,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 10-10½          
81207,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 11-11½          
81213,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 10-10½          
81214,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 11-11½          
81215,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 12-12½          
81216,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 13-13½          
81217,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 12-12½          
81218,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 13-13½          
93003,OPTICA                        ,ARM NIÑOS                     ,3 PIEZAS                      
94002,OPTICA                        ,ARM NIÑAS                     ,BISELADO                      
94003,OPTICA                        ,ARM NIÑAS                     ,3 PIEZAS                      
99201,OPTICA                        ,LENTE OFTALMICO RANURADO      ,ARM OFT RANURADO DAMA         
99203,OPTICA                        ,LENTE OFTALMICO RANURADO      ,ARM OFT RANURADO UNISEX       
99301,OPTICA                        ,LENTE OFTALMICO 3 PIEZAS      ,ARM OFT 3 PZAS DAMA           
99302,OPTICA                        ,LENTE OFTALMICO 3 PIEZAS      ,ARM OFT 3 PZAS CABALLERO      
99303,OPTICA                        ,LENTE OFTALMICO 3 PIEZAS      ,JARM OFT 3 PZAS UNISEX        
19901,DOMESTICOS                    ,OFERTAS                       ,VARIAS                        
19902,DOMESTICOS                    ,OFERTAS                       ,OFERTAS                       
20205,ELECTRONICA                   ,AUTO STEREOS                  ,AMPLIFICADOR                  
20210,ELECTRONICA                   ,AUTO STEREOS                  ,ALARMA AUTO/CASA/OFICINA      
20303,ELECTRONICA                   ,BOCINA CAR AUDIO              ,BOCINA BAJO                   
20412,ELECTRONICA                   ,AUDIO                         ,CASSETTE CD MUEBLE            
20601,ELECTRONICA                   ,MINI AUDIOS                   ,RADIO                         
20602,ELECTRONICA                   ,MINI AUDIOS                   ,CASSETTE                      
20604,ELECTRONICA                   ,MINI AUDIOS                   ,CD                            
20605,ELECTRONICA                   ,MINI AUDIOS                   ,CD RADIO                      
20901,ELECTRONICA                   ,TELEVISOR                     ,"TV 5-9""                       "
21202,ELECTRONICA                   ,INSTRUMENTOS MUSICALES        ,ORGANO 49 TECLAS              
21205,ELECTRONICA                   ,INSTRUMENTOS MUSICALES        ,TAMBOR                        
21301,ELECTRONICA                   ,REGRESADOR VIDEO              ,VIDEO REGRESADOR              
21604,ELECTRONICA                   ,DVD                           ,6CABEZAS HI-FI                
21605,ELECTRONICA                   ,DVD                           ,DVD COMBO                     
21606,ELECTRONICA                   ,DVD                           ,HOME THEATER                  
21607,ELECTRONICA                   ,DVD                           ,DVD PORTATIL                  
21608,ELECTRONICA                   ,DVD                           ,DVD QUEMADOR                  
21701,ELECTRONICA                   ,CONSUMIBLES P/ GRABACION VIDEO,CONSUMIBLES P/ GRABACION VIDEO
21906,ELECTRONICA                   ,ACCESORIOS TV                 ,CABLES                        
21907,ELECTRONICA                   ,ACCESORIOS TV                 ,BASE PARA TV                  
21908,ELECTRONICA                   ,ACCESORIOS TV                 ,SOPORTE TV                    
22822,ELECTRONICA                   ,RECARGAS DE TIEMPO AIRE       ,SUPER RECARGAS MOVISTAR TAE   
22921,ELECTRONICA                   ,CHIPS CELULARES               ,SIM CARD UNIVERSAL MOVISTAR   
22922,ELECTRONICA                   ,CHIPS CELULARES               ,CHIP TELCEL                   
22930,ELECTRONICA                   ,CHIPS CELULARES               ,CHIPS TELCEL                  
24203,ELECTRONICA                   ,VIDEO JUEGOS                  ,PSP                           
24206,ELECTRONICA                   ,VIDEO JUEGOS                  ,NINTENDO DS                   
29507,ELECTRONICA                   ,PROTECCION                    ,COLGANTES                     
29509,ELECTRONICA                   ,PROTECCION                    ,MEMORIAS                      
29510,ELECTRONICA                   ,PROTECCION                    ,CALCETIN                      
29512,ELECTRONICA                   ,PROTECCION                    ,LIMPIA PANTALLAS              
29516,ELECTRONICA                   ,PROTECCION                    ,SET DE  ACCESORIOS            
29518,ELECTRONICA                   ,PROTECCION                    ,BOLSA                         
29520,ELECTRONICA                   ,PROTECCION                    ,FUNDA POUCH                   
29702,ELECTRONICA                   ,ACCESORIOS PARA IPOD          ,BOCINAS PARA IPOD             
29703,ELECTRONICA                   ,ACCESORIOS PARA IPOD          ,FUNDA P/IPOD                  
29803,ELECTRONICA                   ,ACCESORIOS VARIOS             ,BASE PARA CD                  
29804,ELECTRONICA                   ,ACCESORIOS VARIOS             ,PORTA CDS                     
29811,ELECTRONICA                   ,ACCESORIOS VARIOS             ,IMPRESION FOTOGRAFICA         
29901,ELECTRONICA                   ,PROMOCIONES                   ,VARIOS                        
29905,ELECTRONICA                   ,PROMOCIONES                   ,ELECTRONICA VARIOS            
29906,ELECTRONICA                   ,PROMOCIONES                   ,EXHIBIDORES                   
29911,ELECTRONICA                   ,PROMOCIONES                   ,OFERTAS UNEFON/IUSACELL       
29921,ELECTRONICA                   ,PROMOCIONES                   ,OFERTAS MOVISTAR              
29931,ELECTRONICA                   ,PROMOCIONES                   ,PELICULAS                     
29940,ELECTRONICA                   ,PROMOCIONES                   ,COMPRAS ESPECIALES            
30604,MUEBLE SUELTO                 ,CABECERAS                     ,MATRIMONIAL                   
38015,MUEBLE SUELTO                 ,ACCESORIOS                    ,PATA MADERA                   
39901,MUEBLE SUELTO                 ,OFERTAS                       ,VARIOS                        
46301,"SALAS, RECAMARAS, COMEDORES   ",MUEBLES PARA TV               ,MESAS PARA TV                 
48001,"SALAS, RECAMARAS, COMEDORES   ",COMEDORES                     ,COMEDOR PARA 4 PERSONAS       
48002,"SALAS, RECAMARAS, COMEDORES   ",COMEDORES                     ,COMEDOR PARA 6 PERSONAS       
48101,"SALAS, RECAMARAS, COMEDORES   ",PIEZAS SUELTAS DE COMEDOR     ,JUEGO TRINCH/COPETE           
49915,"SALAS, RECAMARAS, COMEDORES   ",PROMOCIONES                   ,426-427 VARIOS                
53010,BICICLETAS/BEBES/AUTOMOTRIZ   ,ACCESORIOS AUT ELECTRICOS     ,INVERSORES                    
53140,BICICLETAS/BEBES/AUTOMOTRIZ   ,ACCESORIOS AUT MANUALES       ,BASTON                        
53150,BICICLETAS/BEBES/AUTOMOTRIZ   ,ACCESORIOS AUT MANUALES       ,CUBRE VOLANTES                
53235,BICICLETAS/BEBES/AUTOMOTRIZ   ,HERRAMIENTAS ELECTRICAS       ,ROTOMARTILLO                  
53315,BICICLETAS/BEBES/AUTOMOTRIZ   ,HERRAMIENTAS MANUALES         ,JUEGO DE LLAVES               
59901,BICICLETAS/BEBES/AUTOMOTRIZ   ,OFERTAS                       ,OFERTA 51 VARIAS              
80102,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO DAMA COCTEL 10K        
80103,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO DAMA LISO 10K          
80104,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO NIÑA 10K               
80105,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO DAMA SOLITARIO 14K     
80106,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO DAMA COCTEL 14K        
80107,JOYERIA                       ,ANILLOS DAMA ORO              ,ANILLO DAMA LISO 14K          
80201,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO SOLITARIO 10K
80202,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO COCTEL 10K   
80205,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO CABALLERO COCTEL 14K   
80207,JOYERIA                       ,ANILLOS CABALLERO ORO         ,ANILLO NIÑO 10K               
80501,JOYERIA                       ,ARETES ORO                    ,BROQUEL 10K                   
80502,JOYERIA                       ,ARETES ORO                    ,ARETE 10K                     
80503,JOYERIA                       ,ARETES ORO                    ,ARRACADA 10K                  
80504,JOYERIA                       ,ARETES ORO                    ,COQUETA 10K                   
80505,JOYERIA                       ,ARETES ORO                    ,BROQUEL 14K                   
80506,JOYERIA                       ,ARETES ORO                    ,ARETE 14K                     
80507,JOYERIA                       ,ARETES ORO                    ,ARRACADA 14K                  
80509,JOYERIA                       ,ARETES ORO                    ,COQUETA 14K                   
80510,JOYERIA                       ,ARETES ORO                    ,JUEGO BROQUEL/ANILLO 10K      
80601,JOYERIA                       ,PENDANTIF ORO                 ,MEDALLAS 10K                  
80602,JOYERIA                       ,PENDANTIF ORO                 ,DIJES 10K                     
80603,JOYERIA                       ,PENDANTIF ORO                 ,CRUZ 10K                      
80604,JOYERIA                       ,PENDANTIF ORO                 ,MEDALLAS 14K                  
80605,JOYERIA                       ,PENDANTIF ORO                 ,DIJES 14K                     
80606,JOYERIA                       ,PENDANTIF ORO                 ,CRUZ 14K                      
80704,JOYERIA                       ,CADENAS ORO                   ,COLLAR 14K                    
80801,JOYERIA                       ,PULSERAS ORO                  ,ESCLAVA LISA 10K              
80802,JOYERIA                       ,PULSERAS ORO                  ,PULSERAS 10K                  
80803,JOYERIA                       ,PULSERAS ORO                  ,ESCLAVA PARA NIÑOS 10K        
80806,JOYERIA                       ,PULSERAS ORO                  ,ARO 10K                       
80807,JOYERIA                       ,PULSERAS ORO                  ,ESCLAVA 14K                   
80808,JOYERIA                       ,PULSERAS ORO                  ,PULSERA 14K                   
80811,JOYERIA                       ,PULSERAS ORO                  ,ARO 14K                       
80901,JOYERIA                       ,SETS ORO                      ,ANILLO CON ARETES 10K         
80902,JOYERIA                       ,SETS ORO                      ,COLLAR CON ARETES 10K         
80903,JOYERIA                       ,SETS ORO                      ,ANILLO CON ARETES 14K         
81101,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 5-5½              
81102,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 6-6½              
81103,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 7-7½              
81104,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 8-8½              
81105,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 9-9½              
81106,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 10-10½            
81107,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 10K 11-11½            
81108,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 5-5½              
81109,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 6-6½              
81110,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 7-7½              
81111,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 8-8½              
81112,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 9-9½              
81113,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 10-10½            
81114,JOYERIA                       ,ARGOLLAS 10KT-14KT            ,ARGOLLA 14K 11-11½            
81201,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 5-5½            
81202,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 6-6½            
81203,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 7-7½            
81204,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 8-8½            
81205,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 10K 9-9½            
81208,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 5-5½            
81209,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 6-6½            
81210,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 7-7½            
81211,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 8-8½            
81212,JOYERIA                       ,ANILLO DAMA 10KT - 14KT       ,SOLITARIO 14K 9-9½            
89809,JOYERIA                       ,COMPRAS ESPECIALES            ,CONSIGNACION.                 
90102,OPTICA                        ,ARM DAMA                      ,BISELADO                      
90103,OPTICA                        ,ARM DAMA                      ,3 PIEZAS                      
90104,OPTICA                        ,ARM DAMA                      ,GOMA                          
90198,OPTICA                        ,ARM DAMA                      ,VENTA ESPECIAL BODEGA         
91001,OPTICA                        ,ARM CABALLERO                 ,ARO COMPLETO                  
91002,OPTICA                        ,ARM CABALLERO                 ,BISELADO                      
91003,OPTICA                        ,ARM CABALLERO                 ,3 PIEZAS                      
92001,OPTICA                        ,ARM UNISEX                    ,ARO COMPLETO                  
92002,OPTICA                        ,ARM UNISEX                    ,BISELADO                      
92003,OPTICA                        ,ARM UNISEX                    ,3 PIEZAS                      
92004,OPTICA                        ,ARM UNISEX                    ,GOMA                          
93001,OPTICA                        ,ARM NIÑOS                     ,ARO COMPLETO                  
93002,OPTICA                        ,ARM NIÑOS                     ,BISELADO                      
